Rxn	Genes
R03199_1	[['YHR072W'], ['YHR072W']]
R03199_2	[['YHR072W'], ['YHR072W']]
R09477_1	[['YHR104W'], ['YHR104W'], ['YHR104W']]
R09477_2	[['YHR104W'], ['YHR104W'], ['YHR104W']]
R06088_1	[['YIL162W'], ['YIL162W']]
R06088_2	[['YIL162W'], ['YIL162W']]
R06088_3	[['YIL162W'], ['YIL162W']]
R00277_1	[['YGR017W'], ['YGR017W']]
R00277_2	[['YBR035C'], ['YBR035C']]
R00277_3	[['YGR017W'], ['YGR017W']]
R11528_1	[['YCL017C'], ['YCL017C']]
R11528_2	[['YCL017C'], ['YCL017C']]
R11528_3	[['YCL017C'], ['YCL017C']]
R05731_1	[['YHR007C'], ['YHR007C']]
R05731_2	[['YHR007C'], ['YHR007C']]
R07891_1	[['YIL160C'], ['YIL160C']]
R07891_2	[['YIL160C'], ['YIL160C']]
R07891_3	[['YIL160C'], ['YIL160C']]
R03503_1	[['YNL256W'], ['YNL256W']]
R03503_2	[['YNL256W'], ['YNL256W']]
R03503_3	[['YNL256W'], ['YNL256W']]
R04920_1	[['YHR123W'], ['YHR123W']]
R04920_2	[['YHR123W'], ['YHR123W']]
R04920_3	[['YHR123W'], ['YHR123W']]
R04920_4	[['YHR123W'], ['YHR123W']]
R08364_1	[['YER070W'], ['YGR180C'], ['YJL026W'], ['YER070W'], ['YGR180C'], ['YJL026W']]
R08364_2	[['YER070W'], ['YGR180C'], ['YIL066C'], ['YJL026W'], ['YER070W'], ['YIL066C'], ['YGR180C'], ['YJL026W']]
R08364_3	[['YIL066C'], ['YIL066C']]
R02208_1	[['YIL049W'], ['YIL049W'], ['YIL049W']]
R02208_2	[['YIL049W'], ['YIL049W'], ['YIL049W']]
R02208_3	[['YIL049W'], ['YIL049W'], ['YIL049W']]
R01071_1	[['YER055C'], ['YER055C']]
R01073_1	[['YDR354W'], ['YDR354W']]
R01073_2	[['YDR354W'], ['YDR354W']]
R06366_1	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R06366_2	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R06366_3	[['YMR110C'], ['YMR169C'], ['YMR170C'], ['YOR374W'], ['YPL061W'], ['YMR110C'], ['YMR110C'], ['YMR169C'], ['YMR169C'], ['YMR170C'], ['YMR170C'], ['YOR374W'], ['YOR374W'], ['YPL061W'], ['YPL061W']]
R06366_4	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R06366_5	[['YER073W'], ['YMR110C'], ['YOR374W'], ['YPL061W'], ['YER073W'], ['YER073W'], ['YMR110C'], ['YMR110C'], ['YOR374W'], ['YOR374W'], ['YPL061W'], ['YPL061W']]
R09376	[['YBR153W'], ['YBR153W'], ['YBR153W']]
R00192_1	[['YER043C'], ['YER043C']]
R10244_1	[['YLR209C'], ['YLR209C']]
R02019_1	[['YER070W'], ['YGR180C'], ['YJL026W'], ['YER070W'], ['YGR180C'], ['YJL026W']]
R02019_2	[['YER070W'], ['YGR180C'], ['YIL066C'], ['YJL026W'], ['YER070W'], ['YIL066C'], ['YGR180C'], ['YJL026W']]
R02019_3	[['YIL066C'], ['YIL066C']]
R01802_1	[['YPR113W'], ['YPR113W']]
R01802_2	[['YPR113W'], ['YPR113W']]
R01802_3	[['YPR113W'], ['YPR113W']]
R01802_4	[['YPR113W'], ['YPR113W']]
R01802_5	[['YPR113W'], ['YPR113W']]
R01802_6	[['YPR113W'], ['YPR113W']]
