Rxn	Genes	GPR rule
R_OAT	[['4942']]	(4942)
R_ALDH4A1_1	[]	
R_Transport_Lglu5semialdehyde	[]	
R_ALDH4A1_2	[]	
R_PYCRL_PYCR2_PYCR1_LEFTY1_2	[]	
R_PYCRL_PYCR2_PYCR1_LEFTY1_1	[]	
R_ASNS	[['440']]	(440)
R_ASRGL1_ASPG	[['374569'], ['80150'], ['56954']]	56954 or 374569 or 80150
R_GOT1_GOT2	[['2805']]	(2805)
R_PHGDH_UBAC2	[]	
R_PSAT1	[['29968']]	(29968)
R_VPS29_PSPH_PSPHP1	[['5723'], ['57026']]	57026 or 5723
R_SHMT1	[['6470'], ['6472']]	6470 or 6472
R_SDS_SDSL_SRR	[['113675'], ['10993'], ['63826']]	113675 or 63826 or 10993
R_CCBL1	[]	
R_NIT2	[['56954']]	(56954)
R_Transport_serine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6509'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140'], ['94081'], ['10955']]	(8140 and 6510) or 153201 or 9057 or 124565 or 153129 or 140679 or 23428 or 6509 or 55238 or 81539 or 94081 or 54407 or 6542 or 10955
R_Transport_glycine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['9152'], ['6536'], ['6539'], ['6510'], ['54977'], ['6542'], ['23428'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 124565 or 9152 or 153129 or 6539 or 6536 or 55238 or 6542 or 54977 or 140679 or 23428 or 81539 or 54407 or 153201
R_SHMT1_2	[['6472']]	(6472)
R_TransportFolate	[['113235'], ['81034'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111'], ['9429'], ['10057'], ['4363']]	81034 or 9058 or 4363 or 113235 or 9016 or 253512 or 64849 or 10057 or 284111 or 9429
R_SLC16A3_SLC16A1_SLC16A5_2	[['6566'], ['201232'], ['9123'], ['159963'], ['65010'], ['55244']]	159963 or 9123 or 201232 or 65010 or 6566 or 55244
R_DHFRL1_DHFR_5	[]	
R_DHFRL1_DHFR_6	[]	
R_MTHFD1_AL445665_1_AQP7P4_LOC286297_2	[['4522'], ['25902']]	4522 or 25902
R_MTHFD1_2	[['10797'], ['4522'], ['441024']]	10797 or 4522 or 441024
R_MTHFD2_4	[]	
R_DHFRL1_DHFR_2	[]	
R_DHFRL1_DHFR_4	[]	
R_MTHFD1_AL445665_1_AQP7P4_LOC286297	[['4522'], ['25902']]	4522 or 25902
R_MTHFD1_3	[]	
R_MTHFD1_1	[['10797'], ['4522']]	10797 or 4522
R_MTHFD2_1	[]	
R_MTHFD2_2	[]	
R_ACAT1_ACAT2	[['38'], ['39']]	39 or 38
R_HMGCS1_HMGCS2	[['3157']]	(3157)
R_HMGCR	[]	
R_MVK	[['4598']]	(4598)
R_PMVK	[['10654']]	(10654)
R_IDI1_IDI2	[['3422'], ['91734']]	3422 or 91734
R_MVD	[['4597']]	(4597)
R_ARID4B_GGPS1_FDPS_FDPSP7_1	[['2224'], ['9453']]	2224 or 9453
R_ARID4B_GGPS1_FDPS_FDPSP7_2	[['2224'], ['9453']]	2224 or 9453
R_FDFT1_1	[]	
R_FDFT1_2	[]	
R_SQLE	[]	
R_LSS	[]	
R_CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_1	[]	
R_CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_2	[]	
R_CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_3	[]	
R_ACAA1_HADHB_LBR_TM7SF2_MYO5B_ACAA2	[]	
R_MSMO1_1	[]	
R_MSMO1_2	[]	
R_MSMO1_3	[]	
R_NSDHL_MAGEA2B	[]	
R_NSDHL	[]	
R_HSD17B7	[]	
R_MSMO1_4	[]	
R_MSMO1_5	[]	
R_MSMO1_6	[]	
R_MSMO1_NSDHL	[]	
R_HSD17B6_HSD17B2_HSD17B7_HSD17B12	[]	
R_ALG13_EBP	[['10682']]	(10682)
R_SC5DL_1	[]	
R_DHCR7_1	[]	
R_DHCR24_LEFTY1	[]	
R_ACACB_PRKAG2_PRKAB2_ACACA_PRKAA2	[['32'], ['31']]	31 or 32
R_FASN_1	[['2194']]	(2194)
R_MCAT_FASN	[['2194']]	(2194)
R_AcAcACPSynthesis	[['54995']]	(54995)
R_ALDH3A2_ALDH2_ALDH1B1_ALDH9A1_ALDH7A1_FASN	[]	
R_FASN_2	[['2194']]	(2194)
R_PECR_MECR_FASN_1	[]	
R_ELOVL5_AGPAT4_UPB1_PNPLA3_TAZ_LPCAT3_LPGAT1_MBOAT7_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	[['54995']]	(54995)
R_FASN_3	[]	
R_OXSM_FASN	[]	
R_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_FASN_1	[]	
R_ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	[]	
R_FASN_4	[]	
R_GGT5_GGT1_GGTLC2_GGT7_GGT2_FASN_GGTLC3_1	[['2194']]	(2194)
R_HADHA_EHHADH_ECHS1_FASN_1	[]	
R_ELOVL5_AGPAT4_HADHA_PBPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_ECHS1_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	[]	
R_AOX1_FASN	[]	
R_FASN_5	[]	
R_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_FASN_2	[]	
R_ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2_1	[]	
R_HADHA_EHHADH_ECHS1_FASN_2	[]	
R_HADHA_EHHADH_ECHS1_FASN_3	[]	
R_CMAS_FASN	[]	
R_ELOVL5_AGPAT4_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_ECHS1_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	[]	
R_PECR_MECR_FASN_2	[]	
R_ACAA1_HADHB_MYO5B_ACAA2_FASN_1	[['2194']]	(2194)
R_HSD17B10_HADHA_EHHADH_HAD17B4_HADH_FASN	[]	
R_ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2_2	[['54995']]	(54995)
R_GGT5_GGT1_GGTLC2_GGT7_GGT2_FASN_GGTLC3_2	[]	
R_ACOT8_FASN	[]	
R_ACAA1_HADHB_MYO5B_ACAA2_FASN_2	[]	
R_OLAH_FASN	[['2194']]	(2194)
R_PrepDemPalmitate	[['6566'], ['201232'], ['9123'], ['159963'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]	5825 or 159963 or 10998 or 376497 or 9123 or 201232 or 948 or 225 or 10999 or 215 or 6566 or 11001 or 2806 or 5243
R_UniportOrnithine	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (153129 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (6510 and 535 and 4512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 341947 and 9377 and 51606) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (6541 and 51606) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (1350 and 8140 and 125965 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (170712 and 8140 and 51606 and 4513) or (8140 and 6510) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 9377 and 51606) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550) or (6510 and 9550)) or 133308 or 150159 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 9057 or 124565 or 83959 or 55238 or 10166 or 6542 or 1497 or 10479 or 84329 or 54407 or 7352 or 153201 or 6576
R_CotraspArgOrnA	[['84329'], ['5663'], ['684'], ['114134'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['54896'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6892 and 3105 and 535 and 3117 and 51606) or (6892 and 4512 and 3105 and 535 and 51606) or (567 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6892 and 51606) or (6892 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (8140 and 6510 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523) or (567 and 3117 and 84701 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6541 and 51606) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (84679 and 51606) or (4514 and 4512 and 84701 and 9377 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (84701 and 9550)) or 150159 or 133308 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9057 or 124565 or 23457 or 6582 or 83959 or 55238 or 10166 or 54896 or 6542 or 1497 or 10479 or 5225 or 84329 or 54407 or 7352 or 153201 or 6576
R_CotraspArgOrnB	[['84329'], ['5663'], ['684'], ['114134'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['54896'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6892 and 3105 and 535 and 3117 and 51606) or (6892 and 4512 and 3105 and 535 and 51606) or (567 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6892 and 51606) or (6892 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (8140 and 6510 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523) or (567 and 3117 and 84701 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6541 and 51606) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (84679 and 51606) or (4514 and 4512 and 84701 and 9377 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (84701 and 9550)) or 150159 or 133308 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9057 or 124565 or 23457 or 6582 or 83959 or 55238 or 10166 or 54896 or 6542 or 1497 or 10479 or 5225 or 84329 or 54407 or 7352 or 153201 or 6576
R_CotraspArgCitrA	[['84329'], ['5663'], ['684'], ['114134'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['54896'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6892 and 3105 and 535 and 3117 and 51606) or (6892 and 4512 and 3105 and 535 and 51606) or (567 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6892 and 51606) or (6892 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (8140 and 6510 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523) or (567 and 3117 and 84701 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6541 and 51606) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (84679 and 51606) or (4514 and 4512 and 84701 and 9377 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (84701 and 9550)) or 150159 or 133308 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9057 or 124565 or 23457 or 6582 or 83959 or 55238 or 10166 or 54896 or 6542 or 1497 or 10479 or 5225 or 84329 or 54407 or 7352 or 153201 or 6576
