Rxn	Genes	GPR rule
R_MPC1_MPC2_MPC1L	[['84329'], ['684'], ['114134'], ['6566'], ['201232'], ['9123'], ['25874'], ['51660'], ['55858'], ['6564'], ['140679'], ['153201'], ['160728'], ['159963'], ['79751'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (50617 and 25874) or (535 and 25874) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (4513 and 51606 and 6566) or (4514 and 341947 and 4512 and 9377 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (50617 and 51660) or (535 and 51660) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550)) or 133308 or 150159 or 9123 or 201232 or 79751 or 83884 or 6556 or 159963 or 114134 or 140679 or 55858 or 9016 or 9481 or 285195 or 160728 or 83959 or 1497 or 10479 or 84329 or 7352 or 153201 or 6576
R_SLC25A3	[['6588'], ['84329'], ['684'], ['114134'], ['10786'], ['57030'], ['57084'], ['55858'], ['6564'], ['140679'], ['153201'], ['6575'], ['79751'], ['83884'], ['1468'], ['114789'], ['79085'], ['29957'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['5250'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['142680'], ['10568'], ['6569'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (4514 and 341947 and 4512 and 9377 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (57030 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (79085 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (5250 and 51606) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (6569 and 51606) or (6588 and 51606) or (7351 and 50617) or (7351 and 535) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550)) or 133308 or 29957 or 150159 or 57084 or 1468 or 79751 or 83884 or 6556 or 114134 or 140679 or 55858 or 9016 or 9481 or 285195 or 114789 or 6575 or 83959 or 142680 or 10568 or 1497 or 10479 or 84329 or 7352 or 153201 or 10786 or 6576
R_SLC25A5_SLC25A4_SLC25A6	[['349149'], ['24145'], ['5663'], ['3347'], ['6779'], ['63910'], ['6582'], ['121260'], ['51296'], ['6565'], ['6564'], ['292'], ['291'], ['83447'], ['284439'], ['10478'], ['114789'], ['29957'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3119 and 291 and 3117) or (3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 292 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3117 and 972)) or 29957 or 121260 or 63910 or 51296 or 6564 or 5243 or 10269 or 114789 or 25825 or 6565 or 6582 or 23457 or 349149 or 284439 or 6779 or 10478 or 83447 or 6382 or 3347 or 5225 or 177 or 24145
R_Transport_CO2	[]	
R_TransportOxygen	[]	
R_ALDH3B1_ALDH3A1_ALDH3B2_ALDH1A3	[['63910'], ['2030'], ['55315'], ['3177']]	63910 or 2030 or 55315 or 3177
R_NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_1	[['4831'], ['654364'], ['4830'], ['122481'], ['129607'], ['158067'], ['203'], ['205'], ['221264'], ['26289'], ['29922'], ['4832'], ['51727']]	51727 or 221264 or 122481 or 4832 or 4831 or 205 or 26289 or 4830 or 129607 or 654364 or 203 or 158067 or 29922
R_NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_2	[['4831'], ['654364'], ['4830'], ['10201'], ['129607'], ['205'], ['221264'], ['4833']]	221264 or 4831 or 205 or 10201 or 4830 or 129607 or 654364 or 4833
R_AQP8	[['83464'], ['51107'], ['6588'], ['343'], ['282679'], ['375318'], ['363'], ['361'], ['359'], ['362'], ['366'], ['364'], ['1667'], ['728358'], ['83959'], ['135']]	359 or 364 or 135 or 83464 or 1667 or 343 or 375318 or 728358 or 361 or 83959 or 51107 or 282679 or 366 or 362 or 363 or 6588
R_HIBCH	[['51458'], ['57127'], ['343'], ['361']]	343 or 57127 or 51458 or 361
