RxnId	EC number
R03220	['K00228', '4.1.1.37']
R03197	['K01599']
R04972	['K01599', '5.3.1.1']
R01015	['K01803', '3.1.1.3']
R01281	['K00654', '2.4.1.15', 'K00654', '2.4.2.14']
R02778	['K16055', '3.1.3.12', 'K16055', '2.6.1.2']
R00258	['K00814', '4.2.3.4', 'K00814', '1.1.1.270']
R02412	['K13830', 'K13830', 'K13830', 'K13830', 'K13830']
R02413	['K13830', 'K13830', 'K13830', 'K13830', 'K13830']
R03083	['K13830', 'K13830', 'K13830', 'K13830', 'K13830']
R03084	['K13830', 'K13830', 'K13830', 'K13830', 'K13830']
R03460	['K13830', '4.2.1.10', 'K13830', '1.1.1.25', 'K13830', '2.7.1.71', 'K13830', '2.5.1.19', 'K13830', '2.7.1.82']
R01468	['K00894', '2.3.1.61']
R01933	['K00658', 'K00382']
R02570	['K00658']
R02571	['K00658']
R08549	['K00658', '1.2.1.11', 'K00382', '2.3.1.4', 'K00164', '1.1.1.101']
R02291	['K00133', '2.7.1.140']
R03478	['K00915', 'K00915']
R05800	['K00915', 'K00915']
R05801	['K00915', 'K00915']
R10065	['K00915', 'K00915']
R10953	['K00915', '2.7.1.151', 'K00915']
R02164	['K00237', '2.3.1.286', 'K00234', '1.17.4.1', 'K00234', 'K00236', '3.1.1.13', 'K00235', '2.4.2.28', 'K00237', '1.1.1.42', 'K00236', '2.1.2.3']
R00130	['K00859', '2.7.1.68']
R03469	['K00889', '2.7.4.3']
R11319	['K00939', '2.3.1.37', 'K00939', '1.2.4.1']
R00830	['K00643', '4.2.1.36']
R04371	['K01705', '2.7.1.26']
R00549	['K00861', '3.5.1.4']
R02540	['K01426']
R03096	['K01426']
R03180	['K01426']
R03909	['K01426']
R05551	['K01426']
R05590	['K01426', '2.7.1.12']
R01737	['K00851', '1.11.1.6']
R00009	['K03781', 'K03781']
R00602	['K03781', 'K03781']
R02670	['K03781', '3.2.1.58', '3.2.1.58', 'K03781', '6.3.5.4']
R00308	['K01210', 'K01210', 'K01210', 'K01210']
R03115	['K01210', '3.1.2.6', 'K01210', '2.8.1.6', 'K01210', '2.5.1.49', 'K01210', '2.8.1.8', '2.8.1.8']
R01736	['K01069', '3.1.3.81', 'K01069', '2.4.1.265']
