Gene	lCompartments
153201	['cytoplasm', 'extracellular']
376497	['mitochondrion', 'cytoplasm', 'extracellular']
284439	['mitochondrion', 'extracellular']
4175	['cytoplasm']
89874	['mitochondrion', 'extracellular']
11056	['extracellular']
343	['mitochondrion', 'cytoplasm', 'extracellular']
11325	['cytoplasm', 'extracellular']
387775	['extracellular']
57818	['extracellular']
22880	['cytoplasm']
5464	['cytoplasm']
51296	['cytoplasm', 'extracellular']
150159	['cytoplasm', 'extracellular']
84181	[]
54716	['extracellular']
81031	['cytoplasm', 'extracellular']
4597	['cytoplasm']
3309	['mitochondrion', 'cytoplasm', 'extracellular']
4512	['mitochondrion', 'cytoplasm', 'extracellular']
6470	['cytoplasm']
771	['extracellular']
64849	['cytoplasm', 'extracellular']
54896	['cytoplasm', 'extracellular']
4953	['cytoplasm']
51063	['extracellular']
56897	['cytoplasm', 'extracellular']
203	['cytoplasm']
5091	['mitochondrion', 'cytoplasm']
3158	['mitochondrion']
7919	['cytoplasm']
91749	['extracellular']
133308	['mitochondrion', 'cytoplasm', 'extracellular']
763	['mitochondrion', 'cytoplasm']
11000	['mitochondrion', 'extracellular']
64135	['cytoplasm']
387700	['extracellular']
6120	['cytoplasm']
6588	['cytoplasm', 'extracellular']
6890	['cytoplasm', 'extracellular']
6575	['cytoplasm', 'extracellular']
539	['mitochondrion', 'cytoplasm', 'extracellular']
9525	['cytoplasm', 'extracellular']
5223	['cytoplasm', 'extracellular']
384	['mitochondrion', 'cytoplasm']
2068	['cytoplasm']
1374	['mitochondrion', 'extracellular']
514	['mitochondrion']
7372	['cytoplasm']
51202	['extracellular']
122622	['cytoplasm']
2987	['cytoplasm']
364	['cytoplasm', 'extracellular']
55858	['cytoplasm', 'extracellular']
4047	['extracellular']
84239	['extracellular']
2194	['cytoplasm', 'extracellular']
1346	['mitochondrion', 'extracellular']
7351	['mitochondrion', 'extracellular']
8992	['cytoplasm', 'extracellular']
4173	['cytoplasm', 'extracellular']
32	['mitochondrion', 'cytoplasm']
129607	['mitochondrion', 'cytoplasm']
1655	['cytoplasm', 'extracellular']
684	['cytoplasm', 'extracellular']
56916	['cytoplasm']
25825	['cytoplasm', 'extracellular']
80201	['mitochondrion', 'cytoplasm']
285641	['extracellular']
8886	['extracellular']
83990	['cytoplasm']
344905	['extracellular']
761	['cytoplasm']
84329	['cytoplasm', 'extracellular']
84076	['cytoplasm']
102157402	['cytoplasm', 'extracellular']
4174	['cytoplasm', 'extracellular']
257202	['cytoplasm']
113235	['cytoplasm', 'extracellular']
28965	['extracellular']
641	['cytoplasm']
51703	['mitochondrion', 'extracellular']
177	['cytoplasm', 'extracellular']
60625	[]
9152	['cytoplasm', 'extracellular']
225	['cytoplasm', 'extracellular']
47	['cytoplasm', 'extracellular']
50	['mitochondrion', 'cytoplasm']
9775	['cytoplasm', 'extracellular']
64078	['extracellular']
728358	['cytoplasm', 'extracellular']
57026	['cytoplasm', 'extracellular']
521	['mitochondrion']
145389	['extracellular']
7350	['mitochondrion', 'extracellular']
11218	['cytoplasm', 'extracellular']
38	['mitochondrion', 'cytoplasm']
363	['cytoplasm', 'extracellular']
254394	['cytoplasm']
81616	['mitochondrion', 'cytoplasm', 'extracellular']
6563	['extracellular']
7486	['cytoplasm']
1723	['mitochondrion', 'cytoplasm', 'extracellular']
2027	['cytoplasm', 'extracellular']
9550	['cytoplasm', 'extracellular']
168400	['cytoplasm']
9114	['cytoplasm', 'extracellular']
63979	['cytoplasm']
359	['cytoplasm', 'extracellular']
362	['cytoplasm', 'extracellular']
83479	['cytoplasm']
164045	['cytoplasm']
435	['cytoplasm']
10568	['cytoplasm', 'extracellular']
729025	['extracellular']
221264	['mitochondrion', 'cytoplasm']
509	['mitochondrion', 'cytoplasm', 'extracellular']
8801	['mitochondrion', 'cytoplasm', 'extracellular']
4833	['mitochondrion']
8438	['cytoplasm']
84893	['cytoplasm']
6524	['cytoplasm', 'extracellular']
54977	['mitochondrion', 'extracellular']
6005	['extracellular']
1660	['cytoplasm', 'extracellular']
7415	['cytoplasm']
64794	['cytoplasm']
9716	['extracellular']
63826	['cytoplasm', 'extracellular']
6507	['cytoplasm', 'extracellular']
2538	['extracellular']
57062	['extracellular']
6382	['cytoplasm', 'extracellular']
