gene	uniprotId	AND	OR
['ATP6V1D', 'ATP6M', 'VATD']	['Q9Y5K8', 'B2RE33', 'Q9Y688']	['ATP6V1C1', 's', 'a', 'catalytic', 'ATP6V0A1', 'd']	[]
['ATP6V1D', 'hCG_21908']	['A0A024R683']	['ATP6V1C1', 'ATP6V0A1']	[]
['DDX41', 'ABS']	['Q9UJV9', 'B2RDC8', 'Q96BK6', 'Q96K05', 'Q9NT96', 'Q9NW04']	['s']	[]
['RHCG', 'C15orf6', 'CDRC2', 'PDRC2', 'RHGK']	['Q9UBD6', 'A8K4D4', 'Q6X3Y4']	[]	['RHAG', 'RHBG']
['ATP6V1H', 'CGI-11']	['Q9UI12', 'B3KMR0', 'Q6PK44', 'Q9H3E3', 'Q9Y300']	[]	[]
['ATP6V1H', 'hCG_27354']	['A0A024R7U9']	['a', 'catalytic', 's']	[]
['MPC1', 'BRP44L', 'CGI-129', 'HSPC040', 'PNAS-115']	['Q9Y5U8', 'B2R5I7', 'Q5TI66', 'Q9HB67', 'Q9UQN4']	['a']	[]
['CMPK1', 'CMK', 'CMPK', 'UCK', 'UMK', 'UMPK']	['P30085', 'B2R6S5', 'B4DPU7', 'E9PGI8', 'Q53GB7', 'Q5SVZ0', 'Q96C07', 'Q9UBQ8', 'Q9UIA2']	[]	[]
[]	['A0A494BXC7']	[]	[]
['RTEL1', 'C20orf41', 'KIAA1088', 'NHL']	['Q9NZ71', 'A2A397', 'A2A398', 'B4DRM5', 'B4DYM3', 'B4E3N6', 'E1P5J4', 'E1P5J5', 'Q5JTV3', 'Q5JTV4', 'Q9BW37', 'Q9H402', 'Q9H4X6', 'Q9NX25', 'Q9NZ73', 'Q9UPR4', 'Q9Y4R6']	['RTEL1', 's']	[]
['PFAS', 'KIAA0361']	['O15067', 'A6H8V8']	[]	[]
[]	['A8K9T9']	[]	[]
[]	['Q6P4B4']	[]	[]
[]	['P17858', 'Q96A64', 'Q96IH4', 'Q9BR91']	['3', '4', 'PFKM', 'PFKL', 'a', 'P08237']	['PFKP', 'PFKM']
[]	['Q7L2M7']	[]	['PFKP', 'PFKM']
['PFKM', 'PFKX']	['P08237', 'J3KNX3', 'Q16814', 'Q16815', 'Q6ZTT1']	['3', '4', 'PFKM', 'HK1', 'P17858', 'PFKL', 's', 'a']	['PFKP', 'PFKL']
['PFKM', 'hCG_27714']	['A0A024R0Y5']	[]	['PFKP', 'PFKL']
['PFKP', 'PFKF']	['Q01813', 'B3KS15', 'Q5VSR7', 'Q5VSR8']	['3', '4', 'a', 'PFKP']	['PFKM', 'PFKL']
['PGAM1', 'PGAMA', 'CDABP0006']	['P18669', 'Q9BWC0']	[]	['PGAM2', 'PGAM4']
['PGAM1', 'HEL-S-35', 'hCG_2015269', 'hCG_25778']	['Q6FHU2']	[]	['PGAM2', 'PGAM4']
['PGAM2', 'PGAMM']	['P15259']	['ENO1', 's']	['PGAM1', 'PGAM4']
[]	['P20142', 'B4DVZ3', 'Q5T3D7', 'Q5T3D8']	[]	[]
['ATP6V1A', 'ATP6A1', 'ATP6V1A1', 'VPP2']	['P38606', 'B2RBR8', 'B7Z1R5', 'D3DN75', 'Q53YD9', 'Q96DY6', 'Q9UHY3']	['f', 'proteolipid', 'e', 's', 'a', 'catalytic', 'd']	[]
['ABCB1', 'MDR1', 'PGY1']	['P08183', 'A8K294', 'B5AK60', 'Q12755', 'Q14812']	['s']	[]
['ABCB1', 'hCG_20818', 'tcag7.316']	['A4D1D2']	[]	[]
['ATP6V1B1', 'ATP6B1', 'VATB', 'VPP3']	['P15313', 'Q53FY0', 'Q6P4H6']	['f', 'proteolipid', 'e', 's', 'ATP6V1G1', 'a', 'catalytic', 'd']	['ATP6V1B2']
['SLC25A3', 'PHC', 'OK/SW-cl.48']	['Q00325', 'B3KS34', 'Q7Z7N7', 'Q96A03']	['s']	[]
['SLC25A3', 'hCG_36721']	['A0A024RBH9']	[]	[]
[]	['Q6MZF9']	[]	[]
['ATP6V1B2', 'ATP6B2', 'VPP3']	['P21281', 'B2R5Z3', 'D3DSQ5', 'Q14544', 'Q15859', 'Q96IR0']	['f', 'proteolipid', 'e', 's', 'a', 'catalytic', 'd']	['ATP6V1B1']
[]	['A0A140VK65']	['a', 'catalytic']	['ATP6V1B1']
['ATP6V0C', 'ATP6C', 'ATP6L', 'ATPL']	['P27449', 'Q6FH26']	['1', 's']	[]
['ATP6V1C1', 'ATP6C', 'ATP6D', 'VATC']	['P21283']	['a', 'catalytic', 'd', 's']	['ATP6V1C2']
['ATP6V1C1', 'hCG_14602']	['A0A024R9I0']	['a', 'catalytic', 's']	['ATP6V1C2']
['ATP6V1E1', 'ATP6E', 'ATP6E2']	['P36543', 'A8MUE4', 'A8MUN4']	['ALDOC', 's', 'a', 'catalytic', 'd']	[]
['ATP6V1E1', 'hCG_21530']	['Q53Y06']	[]	[]
['PKLR', 'PK1', 'PKL']	['P30613', 'O75758', 'P11973']	['PKLR']	[]
['PKM', 'OIP3', 'PK2', 'PK3', 'PKM2']	['P14618', 'A6NFK3', 'B2R5N8', 'B3KRY0', 'B4DFX8', 'B4DUU6', 'P14786', 'Q53GK4', 'Q96E76', 'Q9BWB5', 'Q9UCV6', 'Q9UPF2']	['a', 's', 'PKM']	[]
[]	['V9HWB8']	[]	[]
['ATP6V0B', 'ATP6F']	['Q99437', 'D3DPY5', 'Q6IB32']	['s']	[]
['ATP6V0A1', 'ATP6N1', 'ATP6N1A', 'VPP1']	['Q93050', 'B7Z3B7', 'Q8N5G7', 'Q9NSX0']	['d', 's']	['ATP6V0A4']
[]	['Q53X12']	[]	['ATP6V0A4']
['ATP5PO', 'ATP5O', 'ATPO']	['P48047', 'B2R4E2', 'Q5U042', 'Q6IBI2']	['catalytic', '1', 's']	[]
['SLC38A2', 'ATA2', 'KIAA1382', 'SAT2', 'SNAT2']	['Q96QD8', 'Q6IA88', 'Q6ZMG2', 'Q9HAV3', 'Q9NVA8', 'Q9P2G5']	[]	[]
['SLC38A2', 'hCG_39510']	['A0A024R0W3']	[]	[]
[]	['Q9BXT6', 'A7E211', 'A8MXC6', 'B7WPP1', 'B7Z7R1', 'F5H403', 'Q5TGD5', 'Q8NBD4', 'Q9NXW3', 'Q9UFB3', 'Q9UGX9']	['s']	[]
['DHX29', 'DDX29']	['Q7Z478', 'O75549', 'Q63HN0', 'Q63HN3', 'Q8IWW2', 'Q8N3A1', 'Q9UMH2']	[]	[]
['DDX4', 'VASA']	['Q9NQI0', 'A8K8Q2', 'B3KSF4', 'D6RDK4', 'E9PCD8', 'Q5M7Z3', 'Q86VX0', 'Q9NT92', 'Q9NYB1']	['DDX4', 's']	[]
[]	['Q9Y6V7', 'E7ENA0', 'Q53FJ1', 'Q9BVQ8']	[]	[]
['ATRX', 'RAD54L', 'XH2']	['P46100', 'D3DTE2', 'P51068', 'Q15886', 'Q59FB5', 'Q59H31', 'Q5H9A2', 'Q5JWI4', 'Q7Z2J1', 'Q9H0Z1', 'Q9NTS3']	['ATRX', 'a', 's']	[]
[]	['B4DLW1']	[]	[]
[]	['A4LAA3']	[]	[]
['INO80', 'INO80A', 'INOC1', 'KIAA1259']	['Q9ULG1', 'A6H8X4', 'Q9NTG6']	['Q9Y265', 'Q9Y230', 'RUVBL2', 'RUVBL1', 's', 'INO80', 'alpha']	[]
['INOC1', 'hCG_38960']	['A0A024R9R7']	[]	[]
['PPA1', 'IOPPP', 'PP']	['Q15181', 'Q2M348', 'Q5SQT7', 'Q6P7P4', 'Q9UQJ5', 'Q9Y5B1']	[]	['PPA2']
['HEL-S-66p', 'PPA1', 'hCG_2024809']	['V9HWB5']	[]	['PPA2']
['PPAT', 'GPAT']	['Q06203']	[]	[]
['PPAT', 'hCG_2027246']	['A8K4H7']	[]	[]
[]	['Q59G63']	[]	[]
['SLC6A20', 'SIT1', 'XT3', 'XTRP3']	['Q9NP91', 'A1A4F2', 'O75590', 'Q8TF10', 'Q9NPQ2', 'Q9NQ77']	[]	[]
['ERCC6L', 'PICH']	['Q2NKX8', 'Q8NCI1', 'Q96H93', 'Q9NXQ8']	['3', '1', 's']	[]
[]	['Q8NE00', 'Q8TEU1', 'Q9NT56', 'Q9NXH1']	[]	[]
['TMEM104', 'hCG_29836']	['A0A024R8L3']	[]	[]
['SLC66A1', 'PQLC2']	['Q6ZP29', 'B3KWQ5', 'Q6ZMJ3', 'Q6ZP27', 'Q9NXC7']	[]	[]
['PQLC2', 'hCG_41084']	['A0A024RAE3']	[]	[]
[]	['Q96DW6', 'Q9NWX2']	[]	[]
['FLJ20551', 'SLC25A38', 'hCG_17021']	['A1LP07']	[]	[]
[]	['Q9NWU1']	[]	[]
['SLC38A4', 'ATA3', 'NAT3', 'SNAT4']	['Q969I6', 'A8K553']	[]	[]
['SLC38A4', 'hCG_27253']	['A0A024R0X7']	[]	[]
['SLC38A7', 'SNAT7']	['Q9NVC3', 'Q53GJ9', 'Q9H9I5']	[]	['SLC38A8']
['SLC47A1', 'MATE1']	['Q96FL8', 'Q53HF5', 'Q6PD77', 'Q86VL4', 'Q9NVA3']	[]	[]
['DDX19A', 'DDX19L']	['Q9NUU7', 'B2RPL0', 'B4DRZ7', 'Q53FM0']	[]	['DDX19B']
['SLC29A3', 'ENT3', 'UNQ717/PRO1380']	['Q9BZD2', 'B2RB50', 'B4E2Z9', 'B7ZA37', 'Q0VAM9', 'Q5T465', 'Q7RTT8', 'Q8IVZ0', 'Q9BWI2', 'Q9NUS9']	[]	['SLC29A2', 'SLC29A1']
['DDX43', 'HAGE']	['Q9NXZ2', 'B4E0C8', 'Q6NXR1']	[]	[]
[]	['Q8IY21', 'Q6PK35', 'Q9NVE3']	['s']	['DDX60L']
[]	['Q9H616']	[]	['DDX60L']
['DDX60', 'FLJ20035', 'hCG_1811383']	['A0A3G9HN97']	[]	['DDX60L']
[]	['Q9NXV7']	[]	['DDX60L']
[]	['Q6B0F7']	[]	['DDX60L']
['CHD7', 'KIAA1416']	['Q9P2D1', 'D0VBA5', 'E9PNZ2', 'Q05DI5', 'Q2TAN4', 'Q66K35', 'Q7Z6C0', 'Q7Z7Q2', 'Q9NXA0', 'Q9NXA3']	['CHD8', 's']	[]
[]	['Q6ZWF9']	[]	[]
['DDX27', 'cPERP-F', 'RHLP', 'HSPC259', 'PP3241']	['Q96GQ7', 'A0AVB6', 'B7ZLY1', 'Q5VXM7', 'Q8WYG4', 'Q969N7', 'Q96F57', 'Q96L97', 'Q9BWY9', 'Q9BXF0', 'Q9H990', 'Q9NWU3', 'Q9P0C2', 'Q9UGD6']	['s']	[]
[]	['B7Z6D5']	[]	[]
['DDX28', 'MDDX28']	['Q9NUL7']	['large']	[]
['TMEM165', 'TPARL']	['Q9HC07', 'A8K3P8', 'B4DHW1', 'Q9BTN9', 'Q9NZ34']	[]	[]
['SLC22A11', 'OAT4']	['Q9NSA0', 'A8K426', 'Q53GR2', 'Q6ZP72', 'Q8NBU4']	[]	[]
['SLC7A10', 'ASC1']	['Q9NS82', 'B2RE84']	[]	[]
[]	['P60891', 'B1ALA8', 'B2R6T7', 'B4DNL6', 'D3DUX6', 'P09329']	['3', 'a']	['PRPS2', 'PRPS1L1']
[]	['P11908', 'Q0VDH9', 'Q0VDI0', 'Q15245', 'Q2TAK7']	['3', 'a']	['PRPS1', 'PRPS1L1']
[]	['Q9NRF8', 'B3KWM2', 'Q9BRI0', 'Q9H809', 'Q9H8K9']	[]	['CTPS1']
['CTPS2', 'hCG_1640699']	['A0A024RC00']	[]	['CTPS1']
['PSEN1', 'AD3', 'PS1', 'PSNL1']	['P49768', 'B2R6D3', 'O95465', 'Q14762', 'Q15719', 'Q15720', 'Q96P33', 'Q9UIF0']	['APH1B', 'APH1A', '3', '1', 's', 'gamma', 'Q8WW43', 'a', 'PSEN1']	[]
['PSEN1', 'hCG_21521']	['A0A024R6A3']	['APH1B', 'APH1A']	[]
['TWNK', 'C10orf2', 'PEO1']	['Q96RR1', 'B2CQL2', 'Q6MZX2', 'Q6PJP5', 'Q96RR0']	['s']	[]
[]	['Q9H6V3']	[]	[]
[]	['E5KSY5']	[]	[]
['B2M', 'CDABP0092', 'HDCMA22P']	['P61769', 'P01884', 'Q540F8', 'Q6IAT8', 'Q9UCK0', 'Q9UD48', 'Q9UDF4']	['4', 'beta', 'f', '2', 'antigen', 'e', 's', 'a', 'alpha']	[]
['WRNIP1', 'WHIP']	['Q96S55', 'B2RDB0', 'Q53EP6', 'Q59ET8', 'Q5W0E2', 'Q5W0E4', 'Q8WV26', 'Q9H681', 'Q9NRJ6']	['s']	[]
['SMARCAD1', 'KIAA1122']	['Q9H4L7', 'B7Z799', 'Q05D56', 'Q96SX1', 'Q9H017', 'Q9H860', 'Q9NPU9', 'Q9ULU7']	['a', 's']	[]
['DHX33', 'DDX33']	['Q9H6R0', 'B4DHF9', 'Q4G149', 'Q5CZ73', 'Q9H5M9']	['DDX3X', 'large', 's']	[]
[]	['B4DIS6']	[]	[]
['NIT2', 'CUA002']	['Q9NQR4', 'B2R9A3', 'D3DN47', 'Q8WUF0']	[]	[]
[]	['V9HW91']	[]	[]
['PDXP', 'CIN', 'PLP', 'PLPP']	['Q96GD0', 'Q9UGY2']	[]	[]
['PDXP', 'hCG_41847']	['A0A024R1I3']	[]	[]
['SLC17A7', 'BNPI', 'VGLUT1']	['Q9P2U7', 'B4DFR9', 'B4DG46', 'Q6PCD0']	['s']	['SLC17A6', 'SLC17A8']
['SLC17A6', 'DNPI', 'VGLUT2']	['Q9P2U8', 'A6NKS2']	[]	['SLC17A7', 'SLC17A8']
[]	['Q9H310', 'A8K475', 'Q5SZW4', 'Q5SZW6', 'Q5SZW7', 'Q6P193', 'Q6YJI2', 'Q6YJI3']	['s']	['RHAG', 'RHCG']
[]	['P78330', 'B2RCR5', 'Q7Z3S5']	[]	[]
['PSPH', 'hCG_1811513']	['A0A024RDL3']	[]	[]
['DHX37', 'DDX37', 'KIAA1517']	['Q8IY37', 'Q9BUI7', 'Q9P211']	['s']	[]
['CHD8', 'HELSNF1', 'KIAA1564']	['Q9HCK8', 'Q4G0D8', 'Q68DQ0', 'Q6DKH9', 'Q6P440', 'Q6ZNL7', 'Q8N3Z9', 'Q8NCY4', 'Q8TBR9', 'Q96F26']	['AK6', 'CHD7', 's']	[]
['DDX55', 'KIAA1595']	['Q8NHQ9', 'Q658L6', 'Q8IYH0', 'Q9HCH7']	[]	[]
['DDX55', 'hCG_2033816']	['A0A024RBS0']	[]	[]
['FANCM', 'KIAA1596']	['Q8IYD8', 'B2RTQ9', 'Q3YFH9', 'Q8N9X6', 'Q9HCH6']	['3', 'FANCM', 's', 'a', 'alpha']	[]
['ABCD3', 'PMP70', 'PXMP1']	['P28288', 'D3DT46', 'Q15271', 'Q6NUN5', 'Q96DA3', 'Q9H529']	['s']	[]
['PRUNE1', 'PRUNE']	['Q86TP1', 'B2RCH8', 'B4DFL7', 'Q5SZF9', 'Q659E5', 'Q6P4E0', 'Q8N654', 'Q96JU5', 'Q9C071', 'Q9C072', 'Q9UIV0']	['beta', 'NME1', 's', 'alpha']	[]
['RECQL', 'RECQ1', 'RECQL1']	['P46063', 'A8K6G2']	['s']	[]
['RECQL', 'hCG_2009728']	['A0A024RAV2']	[]	[]
['RHAG', 'RH50']	['Q02094', 'B2R8T8', 'O43514', 'O43515', 'Q7L8L3', 'Q9H454']	[]	['RHBG', 'RHCG']
[]	['Q96E98']	[]	['RHBG', 'RHCG']
['RHCE', 'RHC', 'RHE']	['P18577', 'A7DW68', 'B7UDF3', 'B7UDF4', 'B7UDF5', 'B7UDF6', 'B7UDF7', 'B7UDF8', 'B7UDF9', 'B7UDG0', 'B7UDG1', 'B7UDG2', 'B7UDG3', 'Q02163', 'Q02164', 'Q02165', 'Q16160', 'Q2MJW0', 'Q2VC86', 'Q3LTM6', 'Q6AZX5', 'Q6J2U3', 'Q7RU06', 'Q8IZT2', 'Q8IZT3', 'Q8IZT4', 'Q8IZT5', 'Q9UD13', 'Q9UD14', 'Q9UD15', 'Q9UD16', 'Q9UD73', 'Q9UD74', 'Q9UEC2', 'Q9UEC3', 'Q9UPN0']	[]	['RHD']
[]	['A0A220QMN8']	[]	['RHD']
[]	['Q02161', 'Q02162', 'Q07618', 'Q16147', 'Q16235', 'Q16355', 'Q5VSK0', 'Q5XLS9', 'Q5XLT1', 'Q5XLT2', 'Q9NPK0', 'Q9UQ20', 'Q9UQ21', 'Q9UQ22', 'Q9UQ23']	[]	['RHCE']
[]	['Q7RU08']	[]	['RHCE']
[]	['B4DLT8']	[]	['RHCE']
[]	['Q1KT12']	[]	['RHCE']
['RHO', 'OPN2']	['P08100', 'Q16414', 'Q2M249']	['RHO', '2', 'a', 's']	[]
['DHX35', 'C20orf15', 'DDX35']	['Q9H5Z1', 'A2RTX3', 'B4E0J0', 'F5GXM6', 'Q5THR0', 'Q9H4H7', 'Q9H6T6']	[]	[]
['RPE', 'HUSSY-17']	['Q96AT9', 'A8K4S0', 'B4E016', 'C9JPQ7', 'O43767', 'Q53TV9', 'Q8N215', 'Q96N34', 'Q9BSB5']	[]	['RPEL1']
['SDC1', 'SDC']	['P18827', 'D6W523', 'Q53QV0', 'Q546D3', 'Q96HB7']	['s', 'SDC1']	[]
[]	['Q9GZT4', 'D3DTI5', 'Q6IA55']	[]	[]
[]	['Q3ZK31']	[]	[]
[]	['Q8N3F4']	[]	[]
['SLC17A9', 'C20orf59']	['Q9BYT1', 'B3KTF2', 'Q5W198', 'Q8TB07', 'Q8TBP4', 'Q8TEL5', 'Q9BYT0', 'Q9BYT2']	[]	[]
[]	['Q6PIW4', 'D3DVM6', 'Q86V18', 'Q8ND59', 'Q9H8P1', 'Q9H917']	['s']	[]
[]	['Q9H008', 'B3KP20', 'Q2TBE9', 'Q5VUV9', 'Q5VUW0']	[]	[]
['BLM', 'RECQ2', 'RECQL3']	['P54132', 'Q52M96']	['s', 'BLM']	[]
['IFIH1', 'MDA5', 'RH116']	['Q9BYX4', 'Q2NKL6', 'Q6DC96', 'Q86X56', 'Q96MX8', 'Q9H3G6']	['IFIH1', 's']	[]
[]	['P34896', 'B4DPM9', 'D3DXD0', 'Q96HY0', 'Q9UMD1', 'Q9UMD2']	[]	['SHMT2']
[]	['P34897', 'B7Z9F1', 'E7EQ19', 'E7EU43', 'O00740', 'Q8N1A5']	['s']	['SHMT1']
['HEL-S-51e', 'SHMT2', 'hCG_41231']	['V9HW06']	[]	['SHMT1']
[]	['Q5BJF5']	[]	['SHMT1']
[]	['Q9H8H2', 'Q5K6N2', 'Q5K6N3', 'Q5K6N4', 'Q5VZJ4', 'Q5VZJ9', 'Q96E91', 'Q96NY2', 'Q96SX5', 'Q9H5K6']	['s']	[]
[]	['Q9H6S0', 'B2RP66']	['s']	[]
['SLC13A3', 'NADC3', 'SDCT2']	['Q8WWT9', 'B4DIR8', 'E1P5U4', 'F6WI18', 'Q5JYC9', 'Q5JYD0', 'Q5JYD1', 'Q5TCQ2', 'Q8IVB1', 'Q8N8K4', 'Q96MM5', 'Q9BR25', 'Q9H1G1', 'Q9H3W4', 'Q9NQN5', 'Q9NS04']	[]	['SLC13A2', 'SLC13A5']
[]	['Q9BXS9', 'B4DMZ1', 'Q548A7', 'Q96Q90', 'Q9NQU1']	['4', 'CA2', 's', 'CFTR', 'SLC26A6']	[]
[]	['Q9Y3Y1']	[]	[]
['SLC1A1', 'EAAC1', 'EAAT3']	['P43005', 'O75587', 'Q5VZ24', 'Q8N199', 'Q9UEW2']	['SLC1A1', 's']	[]
['SLC1A2', 'EAAT2', 'GLT1']	['P43004', 'B4DQE9', 'Q14417', 'Q541G6', 'U3KQQ4']	['3', '1', 's']	[]
['SLC1A3', 'EAAT1', 'GLAST', 'GLAST1']	['P43003', 'B2R5T3', 'Q4JCQ8']	['2', 's']	[]
[]	['Q8N169']	[]	[]
['SLC1A3', 'hCG_36855']	['A0A024R050']	[]	[]
['SLC1A4', 'ASCT1', 'SATT']	['P43007', 'B7Z3C0', 'D6W5F0']	[]	[]
['SLC1A5', 'ASCT2', 'M7V1', 'RDR', 'RDRC']	['Q15758', 'A8K9H5', 'B4DR77', 'B4DWS4', 'B7ZB81', 'D0EYG6', 'E9PC01', 'O95720', 'Q96RL9', 'Q9BWQ3', 'Q9UNP2']	['1', 's']	[]
[]	['Q59ES3']	[]	[]
['SLC1A6', 'EAAT4']	['P48664', 'Q8N753']	[]	[]
[]	['B7Z7Q5']	[]	[]
['SLC1A7', 'EAAT5']	['O00341', 'Q5VVZ0', 'Q969Z8', 'Q9BW45']	['s']	[]
[]	['F1T0D3']	[]	[]
['SLC2A1', 'GLUT1']	['P11166', 'A8K9S6', 'B2R620', 'D3DPX0', 'O75535', 'Q0P512', 'Q147X2']	['2', 'SLC2A1', '1', 's']	[]
[]	['Q59GX2']	[]	[]
['SLC2A2', 'GLUT2']	['P11168', 'A8K481', 'B2R936', 'B7Z547', 'F8W8V8', 'Q9UCW9']	[]	[]
['SLC2A3', 'GLUT3']	['P11169', 'B2R606', 'D3DUU6', 'Q6I9U2', 'Q9UG15']	[]	[]
['SLC2A4', 'GLUT4']	['P14672', 'Q05BQ3', 'Q14CX2']	['SLC2A4', 's']	[]
['SLC3A2', 'MDU1']	['P08195', 'Q13543']	['3', 'beta', '4', '2', '1', 's', 'SLC7A5', 'SLC3A2', 'light', 'a', 'alpha']	[]
['SLC5A2', 'SGLT2']	['P31639', 'A2RRD2']	[]	[]
['SLC5A4', 'SAAT1', 'SGLT3']	['Q9NY91', 'O15279']	[]	[]
['SLC6A7', 'PROT']	['Q99884', 'Q0VG81', 'Q52LU6']	[]	[]
[]	['P48067', 'A6NDH1', 'A6NII2', 'A6NNZ8', 'Q5TAB8', 'Q5TAB9', 'Q5TAC0']	[]	['SLC6A5']
[]	['P48065', 'A0AV52', 'B2R992', 'D3DUN8']	['s']	[]
['SLC7A1', 'ATRC1', 'ERR', 'REC1L']	['P30825', 'Q5JR50']	['s']	[]
['SLC7A1', 'hCG_27802']	['A0A024RDQ9']	[]	[]
['SLC7A2', 'ATRC2', 'CAT2']	['P52569', 'B7ZL54', 'O15291', 'O15292', 'Q14CQ6', 'Q6NSZ7', 'Q86TC6']	[]	[]
['NME2', 'NM23B']	['P22392', 'A8MWA3', 'Q1WM23', 'Q6LCT6']	['a', 's']	['NME4', 'NME3', 'NME1', 'NME7', 'NME6']
['SLC9A1', 'APNH1', 'NHE1']	['P19634', 'B1ALD6', 'D3DPL4', 'Q96EM2']	['a', 's']	[]
[]	['B2RAH2']	[]	[]
['SLC9A3', 'NHE3']	['P48764', 'B7ZKR2', 'E9PF67', 'Q3MIW3']	['s', 'SLC9A3']	[]
['SLC11A1', 'LSH', 'NRAMP', 'NRAMP1']	['P49279', 'C0H5Y3']	[]	[]
['SLC14A1', 'HUT11', 'JK', 'RACH1', 'UT1', 'UTE']	['Q13336', 'A8K0P3', 'B3KR62', 'B3KVX3', 'C9EHF2', 'Q86VM5']	['a']	['SLC14A2']
['SLC14A1 JK', 'SLC14A1', 'hCG_22551']	['G0W2N5']	[]	['SLC14A2']
['SLC15A1', 'PEPT1']	['P46059', 'Q5VW82']	['s']	[]
[]	['B2CQT6']	['s']	[]
['SLC15A2', 'PEPT2']	['Q16348', 'A8K1A5', 'B4E2A7']	['s']	[]
['SLC16A1', 'MCT1']	['P53985', 'Q49A45', 'Q5T8R6', 'Q9NSJ9']	['2', 'SLC16A1', 's']	[]
['SLC16A1', 'hCG_37455']	['A0A024R0H1']	[]	[]
[]	['B4DKS0']	[]	[]
['SLC34A1', 'NPT2', 'SLC17A2']	['Q06495', 'B4DPE3']	['s']	['SLC34A3', 'SLC34A2']
['SLC34A1', 'hCG_41577']	['A0A024R7R9']	[]	['SLC34A3', 'SLC34A2']
[]	['Q7Z725']	[]	['SLC34A3', 'SLC34A2']
[]	['Q86VN6']	[]	['SLC34A3', 'SLC34A2']
['SLC19A1', 'FLOT1', 'RFC1']	['P41440', 'B2R7U8', 'B7Z8C3', 'E9PFY4', 'O00553', 'O60227', 'Q13026', 'Q9BTX8']	[]	[]
['SLC20A2', 'GLVR2', 'PIT2']	['Q08357']	[]	[]
[]	['A0A384MR38']	[]	[]
['SLC25A1', 'SLC20A3']	['P53007', 'A8K8E8', 'Q9BSK6']	[]	[]
['SLC22A2', 'OCT2']	['O15244', 'Q5T7Q6', 'Q6PIQ8', 'Q8NG62', 'Q9NQB9']	[]	[]
[]	['O00631', 'Q6ICV3']	['s']	[]
[]	['A0A158RFT9']	[]	[]
[]	['P00441', 'A6NHJ0', 'D3DSE4', 'Q16669', 'Q16711', 'Q16838', 'Q16839', 'Q16840', 'Q6NR85']	['SOD1']	[]
[]	['V9HWC9']	[]	[]
[]	['P04179', 'B2R7R1', 'B3KUK2', 'B4DL20', 'B4E3K9', 'E1P5A9', 'P78434', 'Q16792', 'Q5TCM1', 'Q96EE6', 'Q9P2Z3']	[]	[]
[]	['A0A384NL29']	[]	[]
[]	['P07738', 'A4D1N9']	[]	[]
['BPGM', 'hCG_20346']	['A0A024R782']	[]	[]
[]	['P02808', 'A6NKE9', 'B2R4F8']	[]	[]
['SUPV3L1', 'SUV3']	['Q8IYB8', 'A8K301', 'O43630']	['3', '2', 'BLM', 'WRN', 's', 'a']	[]
[]	['Q10589', 'A8K4Y4', 'Q53G07']	['s']	[]
['BST2', 'CD317', 'hCG_37652']	['A0A024R7H5']	[]	[]
['TALDO1', 'TAL', 'TALDO', 'TALDOR']	['P37837', 'B2R8M2', 'O00751', 'Q8WV32', 'Q8WZ45']	[]	[]
[]	['A0A140VK56']	[]	[]
['TAP1', 'ABCB2', 'PSF1', 'RING4', 'Y3']	['Q03518', 'Q16149', 'Q96CP4']	['TAP2', 'TAPBP', 's', 'HLA-A', 'a']	[]
[]	['A0A0S2Z5A6']	[]	[]
[]	['X5CKB3']	[]	[]
['TAP2', 'ABCB3', 'PSF2', 'RING11', 'Y1']	['Q03519', 'B0V2J8', 'O95410', 'Q53FI6', 'Q5HY71', 'Q96PT8', 'Q9UQ83']	['TAPBP', 'TAP1', 'a', 's']	[]
['TAP2', 'hCG_2001583']	['Q5JNW1']	[]	[]
['TAPBP', 'NGS17', 'TAPA']	['O15533', 'A2AB91', 'A2ABC0', 'B0V003', 'B0V0A6', 'B2ZUA4', 'E9PGM2', 'O15210', 'O15272', 'Q5STJ8', 'Q5STK6', 'Q5STQ5', 'Q5STQ6', 'Q66K65', 'Q96KK7', 'Q9HAN8', 'Q9UEE0', 'Q9UEE4', 'Q9UIZ6', 'Q9Y6K2']	['TAPBP', '1', 's']	[]
['TAPBP', 'hCG_17519']	['A0A024RCT1']	[]	[]
[]	['P29401', 'A8K089', 'B4DE31', 'E7EPA7', 'Q8TBA3', 'Q96HH3']	[]	['TKTL2', 'TKTL1']
['HEL107', 'TKT', 'hCG_16023']	['V9HWD9', 'A0A024R2Z9']	[]	['TKTL2', 'TKTL1']
['TPI1', 'TPI']	['P60174', 'B7Z5D8', 'D3DUS9', 'P00938', 'Q6FHP9', 'Q6IS07', 'Q8WWD0', 'Q96AG5']	[]	[]
[]	['Q53HE2']	[]	[]
[]	['V9HWK1']	[]	[]
[]	['P59665', 'P11479', 'Q14125', 'Q6EZF6']	['s']	['DEFA1']
[]	['Q2QD12']	[]	['RPE']
['TYMS', 'TS', 'OK/SW-cl.29']	['P04818', 'Q8WYK3', 'Q8WYK4']	[]	[]
['TYMS', 'hCG_1994842']	['Q53Y97']	[]	[]
['UCP1', 'SLC25A7', 'UCP']	['P25874', 'Q13218', 'Q4KMZ3', 'Q68G66']	['s']	[]
['UCP2', 'SLC25A8']	['P55851', 'Q4PJH8', 'Q53HM3']	['a']	['UCP3']
['UCP2', 'hCG_27329']	['A0A024R5N5']	[]	['UCP3']
