gene	uniprotId	AND	OR
[]	['P15954', 'Q6NR81']	['COX5B', 'P00395', 's', 'P10606', 'catalytic', 'P00403', '3', '2', 'MT-CO3', '1', 'MT-CO1', 'P14406', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P10176', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	[]
['COX8A', 'COX8', 'COX8L']	['P10176', 'P15955']	['COX5B', 'P00395', 'P15954', 's', 'P10606', 'catalytic', 'P00403', '3', '2', 'MT-CO3', '1', 'MT-CO1', 'P14406', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	['COX8C']
['COX8A', 'COX8', 'hCG_27157']	['Q53XN1']	[]	['COX8C']
[]	['P31327', 'B7Z818', 'J3KQL0', 'O43774', 'Q53TL5', 'Q59HF8', 'Q7Z5I5']	[]	[]
[]	['Q6PEK7']	[]	[]
[]	['Q8NHS2', 'A8MWL4']	[]	['GOT1']
['CPT1A', 'CPT1']	['P50416', 'Q8TCU0', 'Q9BWK0']	[]	[]
['CPT1A', 'hCG_2039450']	['A0A024R5F4']	[]	[]
[]	['Q8WZ48']	[]	[]
[]	['B2RAQ8']	[]	[]
['CPT1B', 'KIAA1670']	['Q92523', 'B7Z4U4', 'B7Z5T8', 'E9PCP2', 'Q13389', 'Q99655', 'Q9BY90']	[]	[]
[]	['A0A024R4W7']	[]	[]
[]	['Q53FV7']	[]	[]
[]	['A5PLL0']	[]	[]
['CPT2', 'CPT1']	['P23786', 'B2R6S0', 'Q5SW68', 'Q9BQ26']	[]	[]
[]	['A0A140VK13']	[]	[]
['SLC32A1', 'VGAT', 'VIAAT']	['Q9H598', 'Q8N489']	[]	[]
['SLC34A3', 'NPT2C', 'NPTIIC']	['Q8N130', 'A2BFA1']	[]	['SLC34A1', 'SLC34A2']
[]	['O75390', 'Q71UT9', 'Q7KZH0', 'Q96FZ8', 'Q9BWN8']	[]	[]
['CS', 'hCG_2016169']	['A0A024RB75']	[]	[]
['SLC2A14', 'GLUT14']	['Q8TDB8', 'B3KVB5', 'B3KWW7', 'B7Z844', 'B7ZAC3', 'Q6UY84', 'Q8TDB9']	[]	[]
['SLC38A6', 'NAT1', 'SNAT6']	['Q8IZM9', 'C9JWA6', 'Q86SY5']	[]	[]
[]	['A6NNN8']	[]	['SLC38A7']
['SLC25A10', 'DIC']	['Q9UBX3', 'Q542Z3', 'Q96BA1', 'Q96IP1']	[]	[]
[]	['A0A0S2Z382']	[]	[]
[]	['O60931', 'D3DTJ5', 'Q8IZ01', 'Q9UNK6']	[]	[]
[]	['A0A0S2Z3K3']	[]	[]
['SLC9B1', 'NHA1', 'NHEDC1']	['Q4ZJI4', 'A1KXV1', 'B9EH04', 'C9JBP7', 'Q49A30', 'Q8NCV2', 'Q8WVZ0']	[]	['SLC9B2']
['CTPS1', 'CTPS']	['P17812', 'B4DR64', 'D3DPW1', 'Q5VW67', 'Q96GK6']	[]	['CTPS2']
['SLC38A11', 'AVT2']	['Q08AI6', 'B4DF99', 'Q8N887']	[]	[]
['SLC16A14', 'MCT14']	['Q7RTX9', 'A8KA08', 'Q53R92', 'Q96NI7']	[]	[]
['SLC38A9', 'URLC11']	['Q8NBW4', 'A0A0A8K8P2', 'B3KXV1', 'B7Z7D0', 'Q0P5S0', 'Q6MZJ8']	['s']	[]
['FLJ90709', 'hCG_40989']	['A0A024QZR9']	[]	[]
['SLC36A2', 'PAT2', 'TRAMD1']	['Q495M3', 'Q495M4', 'Q495M6', 'Q6ZWK5', 'Q7Z6B5']	[]	['SLC36A3', 'SLC36A1', 'SLC36A4']
['SLC2A12', 'GLUT12']	['Q8TD20', 'B3KV17', 'Q7Z6U3', 'Q96MR8']	[]	[]
['SLC7A13', 'AGT1', 'XAT2']	['Q8TCU3', 'Q05C37', 'Q08AH9', 'Q96N84']	[]	[]
['ADSL', 'AMPS']	['P30566', 'B0QY76', 'O75495', 'Q5TI34']	[]	[]
['ADSL', 'hCG_40060']	['X5D8S6']	[]	[]
['AK8', 'C9orf98']	['Q96MA6', 'A8K821', 'Q8N9W9']	[]	[]
['ADSS2', 'ADSS']	['P30520', 'B1AQM5', 'Q96EG7']	[]	['ADSS1']
['ADSS', 'ADSS2', 'hCG_15389']	['A0A024R5Q7', 'A0A384MEI4']	[]	['ADSS1']
['SLC5A12', 'SMCT2']	['Q1EHB4', 'Q86UC7']	[]	['SLC5A8']
['SLC5A8', 'AIT', 'SMCT', 'SMCT1']	['Q8N695', 'Q2TB99', 'Q7Z2H9']	[]	['SLC5A12']
['SLC16A11', 'MCT11']	['Q8NCK7']	['2', 's']	[]
['HFM1', 'SEC3D1']	['A2PYH4', 'B1B0B6', 'Q8N9Q0']	[]	[]
[]	['Q92499', 'B4DME8', 'B4DPN6']	['s']	[]
['DDX1', 'hCG_15914']	['A3RJH1']	[]	[]
['DDX3X', 'DBX', 'DDX3']	['O00571', 'A8K538', 'B4E3E8', 'O15536']	['3', 's']	[]
['DDX5', 'G17P1', 'HELR', 'HLR1']	['P17844', 'B4DLW8', 'B5BU21', 'D3DU32', 'E7ETL9', 'O75681', 'Q53Y61']	['a', 'DHX15', 's']	[]
[]	['Q8TE96', 'Q6B017', 'Q8NAM8']	[]	[]
['DDX6', 'HLR2', 'RCK']	['P26196', 'Q5D048']	['a', 'NHL', 's']	[]
[]	['B2R858']	[]	[]
['DHX8', 'DDX8']	['Q14562']	['s']	[]
[]	['Q05CV4']	[]	[]
[]	['Q86YB2']	[]	[]
['DHX9', 'DDX9', 'LKP', 'NDH2']	['Q08211', 'B2RNV4', 'Q05CI5', 'Q12803', 'Q32Q22', 'Q5VY62', 'Q6PD69', 'Q99556']	['3', 'beta', 'DDX3X', '1', 'WRN', 's', 'a', 'DHX9', 'alpha']	[]
[]	['B3KU66']	[]	[]
[]	['Q13206', 'B2RCQ3', 'Q5BJD8']	[]	[]
['DDX11', 'CHL1', 'CHLR1', 'KRG2']	['Q96FC9', 'Q13333', 'Q86VQ4', 'Q86W62', 'Q92498', 'Q92770', 'Q92998', 'Q92999']	['regulatory', '1', 's']	[]
['SPATA5', 'AFG2', 'SPAF']	['Q8NB90', 'C9JT97', 'Q86XW1', 'Q8NI20', 'Q8TDL7']	['a', 's']	[]
['DHX15', 'DBP1', 'DDX15']	['O43143', 'Q9NQT7']	['a', 's']	[]
[]	['P59665', 'P11479', 'Q14125', 'Q6EZF6']	['s']	['DEFA1B']
['DDX53', 'CAGE']	['Q86TM3', 'Q0D2N2', 'Q6NVV4']	[]	[]
['DHX36', 'DDX36', 'KIAA1488', 'MLEL1', 'RHAU']	['Q9H2U1', 'B2RB00', 'Q70JU3', 'Q8IYE5', 'Q9P240']	['DDX1', 's', 'DDX21', 'a', 'DHX36']	[]
[]	['Q8TF08', 'Q32Q40']	['3', '2', '1', 's', 'a', 'catalytic']	[]
[]	['Q02127', 'A8K8C8', 'Q6P176']	[]	[]
['DNA2', 'DNA2L', 'KIAA0083']	['P51530', 'Q2NKM1', 'Q5TC49', 'Q5TC50', 'Q6P455', 'Q6PI80', 'Q7Z6H9', 'Q8N346']	['s', 'BLM']	[]
['AGER', 'RAGE']	['Q15109', 'A2BFI7', 'A6NKF0', 'A7Y2U9', 'B0V176', 'Q15279', 'Q3L1R4', 'Q3L1R5', 'Q3L1R6', 'Q3L1R7', 'Q3L1R8', 'Q3L1S0', 'Q86SN1', 'Q9H2X7', 'Q9Y3R3', 'V5R6A3']	['s']	[]
[]	['A0A1U9X785']	[]	[]
[]	['B4DNX3']	[]	[]
['TOR1A', 'DQ2', 'DYT1', 'TA', 'TORA']	['O14656', 'B2RB58', 'Q53Y64', 'Q96CA0']	['TOR1A', 's']	['TOR1B']
[]	['B3KPA1']	[]	['TOR1B']
['EIF4A1', 'DDX2A', 'EIF4A']	['P60842', 'B2R6L8', 'D3DTP9', 'J3QLC4', 'P04765', 'Q5U018', 'Q61516']	['EIF4A1', 's']	['EIF4A2']
['EIF4A2', 'DDX2B', 'EIF4F']	['Q14240', 'D3DNU9', 'Q53XJ6', 'Q96B90', 'Q96EA8']	['EIF4A2', '1', 's']	['EIF4A1']
['SLC5A9', 'SGLT4']	['Q2M3M2', 'B3KY87', 'B7ZL45', 'B7ZL47', 'E9PAK4', 'E9PJ08', 'Q5TET3']	[]	[]
['SLC16A13', 'MCT13']	['Q7RTY0', 'A3KMG3', 'A5PKU5', 'Q2VP92']	[]	[]
['ENO1', 'ENO1L1', 'MBPB1', 'MPB1']	['P06733', 'B2RD59', 'P22712', 'Q16704', 'Q4TUS4', 'Q53FT9', 'Q53HR3', 'Q658M5', 'Q6GMP2', 'Q71V37', 'Q7Z3V6', 'Q8WU71', 'Q96GV1', 'Q9BT62', 'Q9UCH6', 'Q9UM55']	['PGAM2', '3', 'beta', 'ENO1', 'ENO4', 's', '1', 'gamma', 'alpha']	['ENO4', 'ENO3', 'ENO2']
['HEL-S-17', 'ENO1', 'hCG_22399']	['A0A024R4F1', 'A0A0K0K1K8']	[]	['ENO4', 'ENO3', 'ENO2']
[]	['P09104', 'B7Z2X9', 'Q96J33']	['3', 'beta', 'gamma', 'alpha']	['ENO4', 'ENO3', 'ENO1']
['ENO2', 'HEL-S-279', 'hCG_25937']	['Q6FHV6']	[]	['ENO4', 'ENO3', 'ENO1']
[]	['P13929', 'B4DUI6', 'B4DUM6', 'D3DTL2', 'E7ENK8', 'Q96AE2']	['3', 'beta', 's', 'gamma', 'alpha']	['ENO4', 'ENO2', 'ENO1']
[]	['P00568', 'Q9BVK9', 'Q9UQC7']	[]	[]
['AK1', 'HTL-S-58j', 'hCG_2039407']	['Q6FGX9']	[]	[]
['SLC29A1', 'ENT1']	['Q99808', 'B3KQV7', 'B3KQY5', 'Q5T9W9', 'Q9UJY2']	[]	['SLC29A3', 'SLC29A2']
['AK2', 'ADK2']	['P54819', 'A8K6L1', 'B4DHH7', 'B4DL64', 'Q16856', 'Q5EB54', 'Q5TIF7', 'Q8TCY2', 'Q8TCY3']	[]	[]
[]	['A0A140VK93']	[]	[]
['AK4', 'AK3', 'AK3L1']	['P27144', 'B2R927', 'D3DQ62', 'Q6IBH4', 'Q6NXQ5', 'Q8IUU9']	['s']	[]
['SLC36A1', 'PAT1']	['Q7Z2H8', 'C9JI34', 'Q1LZ56', 'Q7Z7C0', 'Q86YK4', 'Q96M74']	[]	['SLC36A3', 'SLC36A2', 'SLC36A4']
['ERCC2', 'XPD', 'XPDC']	['P18074', 'Q2TB78', 'Q2YDY2', 'Q7KZU6', 'Q8N721']	['ERCC3', 's']	[]
['ERCC3', 'XPB', 'XPBC']	['P19447', 'Q53QM0']	['ERCC2', 's']	[]
['ABCD1', 'ALD']	['P33897', 'Q6GTZ2']	['ABCD1', 's']	[]
['ACSL3', 'ACS3', 'FACL3', 'LACS3']	['O95573', 'Q60I92', 'Q8IUM9']	[]	['ACSL4']
['ACSL3', 'hCG_21017']	['A0A024R487']	[]	['ACSL4']
['ACSL4', 'ACS4', 'FACL4', 'LACS4']	['O60488', 'D3DUY2', 'O60848', 'O60849', 'Q5JWV8']	[]	['ACSL3']
['FASN', 'FAS']	['P49327', 'Q13479', 'Q16702', 'Q4LE83', 'Q6P4U5', 'Q6SS02', 'Q969R1', 'Q96C68', 'Q96IT0']	['fatty', 's']	[]
['FBP1', 'FBP']	['P09467', 'O75571', 'Q53F94', 'Q96E46']	[]	['FBP2']
['SLC16A9', 'C10orf36', 'MCT9']	['Q7RTY1', 'Q6ZMI2', 'Q9UFH8']	[]	[]
['AK9', 'AKD1', 'AKD2', 'C6orf199', 'C6orf224']	['Q5TCS8', 'A6NL75', 'B2RDJ0', 'B6ZDM7', 'Q3MIS4', 'Q5I0W8', 'Q6ZNF1', 'Q6ZVR7', 'Q8N7C6', 'Q8WW00', 'Q96NF4']	[]	[]
['PRPS1L1', 'PRPS3', 'PRPSL']	['P21108', 'Q6P5P6']	['3', 'a']	['PRPS2', 'PRPS1']
['FDPS', 'FPS', 'KIAA1293']	['P14324', 'D3DV91', 'E9PCI9', 'Q96G29']	['1', 's']	[]
['ABCD2', 'ALD1', 'ALDL1', 'ALDR', 'ALDRP']	['Q9UBJ2', 'B2RAM3', 'Q13210', 'Q2M3H9']	['s']	[]
['ALDOA', 'ALDA']	['P04075', 'B4DXI7', 'Q6FH76', 'Q6FI10', 'Q96B15', 'Q9BWD9', 'Q9UCN2']	['FBP2', '2', 's']	['ALDOC', 'ALDOB']
['HEL-S-87p', 'ALDOA', 'hCG_1811258']	['V9HWN7']	[]	['ALDOC', 'ALDOB']
[]	['P07954', 'B1ANK7']	['s']	[]
[]	['A0A0S2Z4C3']	[]	[]
['MORC2', 'KIAA0852', 'ZCWCC1']	['Q9Y6X9', 'B2RNB1', 'Q9UF28', 'Q9Y6V2']	['MORC2', 's']	[]
['ALDOB', 'ALDB']	['P05062', 'Q13741', 'Q13742', 'Q5T7D6']	['s']	['ALDOC', 'ALDOA']
['ALDOB', 'hCG_27655']	['A0A024R145']	[]	['ALDOC', 'ALDOA']
['DHX30', 'DDX30', 'KIAA0890']	['Q7L2E3', 'A8K5F1', 'O94965', 'Q7Z753', 'Q96CH4', 'Q9NUQ0']	['DDX28', 's']	[]
['RPIA', 'RPI']	['P49247', 'Q541P9', 'Q96BJ6']	[]	[]
['ALDOC', 'ALDC']	['P09972', 'B2R5R3', 'Q3SYL3', 'Q6FH94', 'Q6P0L5']	['s']	['ALDOB', 'ALDOA']
['ALDOC', 'hCG_31801']	['A0A024QZ64']	[]	['ALDOB', 'ALDOA']
