MetaCycId	NcbiId	Uniprot	Accessions	Names	Product	Product_types
|G-44617|			[]	['Y10A']	['|MONOMER-19918|']	[]
|G-44736|			[]	['tun2', 'tunB']	['|MONOMER-20036|']	[]
|EG10527|			['b0344', 'ECK0341']	['ECK0341', 'lacZ', 'b0344']	['|BETAGALACTOSID-MONOMER|']	[]
|YMR303C|			[]	['ADH2', 'ADR2']	['|YMR303C-MONOMER|']	[]
|AT5G54190|			[]	['PORA', 'AT5g54190']	['|AT5G54190-MONOMER|']	['|ENZYME|']
|G-9081|			[]	['CaMXMT1']	['|MONOMER-11673|']	['|ENZYME|']
|EG11816|			['b2746', 'ECK2741']	['ECK2741', 'ispF', 'b2746', 'ygbB']	['|EG11816-MONOMER|']	[]
|G6103|			['b0219', 'ECK0220']	['ECK0220', 'b0219', 'yafV']	['|G6103-MONOMER|']	[]
|G-11260|			[]	['cbaB']	['|MONOMER-14757|']	[]
|G-17639|			[]	['rmlA']	['|MONOMER-18132|']	[]
|G6847|			['b1589', 'ECK1584']	['ECK1584', 'b1589', 'ynfG']	['|G6847-MONOMER|']	[]
|HS01658|	23193		[]	['KIAA0088', 'G2AN', 'GANAB']	['|HS01658-MONOMER|']	[]
|G-382|	3624516		[]	['mtaA']	['|MTAAMBARK-MONOMER|']	[]
|G-12589|			[]	['PCS1', 'CS1-8R']	['|MONOMER-16320|']	[]
|HS01216|	22978		[]	['PNT5', 'NT5B', 'NT5CP', 'NT5C2']	['|HS01216-MONOMER|']	[]
|TX50_RS01585|			['TX50_RS01585', 'PMM0306']	['RS01585', 'TX50_RS01585', 'PMM0306', 'cpeS']	['|TX50_RS01585-MONOMER|']	[]
|GMETA-14694|	2614734		[]	['cod', 'VC1280']	['|MONOMERMETA-16870|']	[]
|G-15226|			[]	['CYP72A154']	['|MONOMER-17470|']	[]
|EG10348|			['b2800', 'ECK2795']	['fucA', 'prd', 'ECK2795', 'fucC', 'b2800']	['|FUCPALDOL-MONOMER|']	[]
|G-10816|			[]	['ntpN', 'ntpK']	['|MONOMER-14153|']	[]
|AT2G24270|	ALDH11A3		[]	['NP-GAPDH', 'GAPN']	['|AT2G24270-MONOMER|']	['|ENZYME|']
|G-44286|			[]	['swb2']	['|MONOMER-19584|']	[]
|SYNPCC7942_2478|			[]	['psbW']	['|SYNPCC7942_2478-MONOMER|']	[]
|G-9612|			[]	['ncd-2']	['|MONOMER-302|']	[]
|G-10417|			[]	['fom4']	['|MONOMER-13661|']	['|ENZYME|']
|G-14865|	4940574		['SACE_0713']	['SACE_0713', 'eryK']	['|MONOMER-17062|']	[]
|G-44447|			[]	['sibE']	['|MONOMER-19743|']	[]
|EG10913|			['b3307', 'ECK3294']	['ECK3294', 'b3307', 'rpsN']	['|EG10913-MONOMER|']	[]
|G-58301|			[]	['mlr6788']	['|MONOMER-20513|']	[]
|G-58237|			['lin1153']	['lin1153', 'cblT']	['|MONOMER-20449|']	[]
|G-58132|			['sll0033']	['sll0033', 'crtH']	['|MONOMER-20344|']	[]
|EG10057|			['b1901', 'ECK1899']	['ECK1899', 'b1901', 'araF']	['|ARAF-MONOMER|']	[]
|TX72_RS04600|			['SYNW0927', 'TX72_RS04600']	['RS04600', 'SYNW0927', 'psbP', 'TX72_RS04600']	['|TX72_RS04600-MONOMER|']	[]
|G18C3-43|			[]	['AT2', 'ASAT4']	['|MONOMER18C3-46|']	[]
|AT2G42010|			[]	['PLD beta', 'At2g42010']	['|AT2G42010-MONOMER|']	[]
|G7508|			['b2889', 'ECK2884']	['b2889', 'ygfV', 'idi', 'ECK2884']	['|IPPISOM-MONOMER|']	[]
|G-11987|			[]	['CYP71AJ4']	['|MONOMER-15618|']	[]
|G-58336|			[]	['Pc1,3Gal43A']	['|MONOMER-20545|']	[]
|HS08751|	9261		[]	['MAPKAPK2']	['|HS08751-MONOMER|']	[]
|HS15341|			[]	['AKR1E2']	['|HS15341-MONOMER|']	[]
|G-549|			[]	['badI']	['|MONOMER-892|']	[]
|G-9213|			[]	['porD']	['|MONOMER-11853|']	[]
|HS05385|	4705		[]	['NDUFA10']	['|HS05385-MONOMER|']	[]
|G-11784|			[]	['falcipain-3']	['|MONOMER-15380|']	[]
|G-9440|	3625581		[]	['mtmB', 'mtmB1']	['|MONOMER-12210|']	['|ENZYME|']
|G8210|			['b2702', 'ECK2697']	['sbl', 'ECK2697', 'srlA', 'gutA', 'srlA-1', 'b2702']	['|G8210-MONOMER|']	[]
|G-43904|			['D082_12370']	['crtR', 'D082_12370']	['|MONOMER-19185|']	[]
|G-12070|	942479		['CC_1632']	['lacB', 'CC_1632']	['|MONOMER-15713|']	[]
|G-15016|			[]	['btrS', 'btrR']	['|MONOMER-17229|']	[]
|G-14956|			[]	['An07g01290', 'sdhA']	['|MONOMER-17164|']	[]
|G-34535|			[]	['Af12080', 'AFUA_6G12080', 'pesM']	['|MONOMER-18827|']	[]
|AT5G64300|			['AT5G64300']	['AT5G64300', 'RIBBA', 'RIBA']	['|AT5G64300-MONOMER|']	[]
|G-10906|	29441		[]	['Por']	['|MONOMER-14290|']	[]
|AT5G04490|	AT5G04490		[]	['VTE5']	['|AT5G04490-MONOMER|']	['|ENZYME|']
|G-12398|			[]	['jadO']	['|MONOMER-16092|']	[]
|AT5G64370|	at5g64370		[]	['PYD3']	['|MONOMER-9543|']	['|ENZYME|']
|HS03772|			[]	['GBE1']	['|HS03772-MONOMER|']	['|ENZYME|']
|G7463|			['b2843', 'ECK2841']	['b2843', 'kduI', 'yqeE', 'ECK2841']	['|G7463-MONOMER|']	[]
|G-14861|			[]	['oleD', 'UGT102A2']	['|MONOMER-17058|']	[]
|G-11561|			[]	['ligW2']	['|MONOMER-15125|']	[]
|G-11054|			[]	['vpl1']	['|MONOMER-14478|']	[]
|EG11369|			['b4039', 'ECK4031']	['ubiC', 'b4039', 'ECK4031']	['|CHORPYRLY-MONOMER|']	[]
|SYNPCC7942_1882|			[]	['psbU']	['|SYNPCC7942_1882-MONOMER|']	[]
|G-15982|	13427418		['MSMEG_6250']	['MSMEG_6250', 'egtA', 'gshA']	['|MONOMER-17988|']	[]
|G-55001|	10724321		[]	['pcpF']	['|MONOMER-20112|']	[]
|G6670|			['b1338', 'ECK1334']	['ydaJ', 'abgA', 'b1338', 'ECK1334']	['|G6670-MONOMER|']	[]
